sc	st	en	id
ScOZjSD_436	7126326	7126568	g161
ScOZjSD_436	7231914	7232285	g162
ScOZjSD_436	7284322	7284558	g163
ScOZjSD_436	7344679	7354935	g164
ScOZjSD_436	7361394	7398486	g165
ScOZjSD_436	7433134	7471614	g166
ScOZjSD_436	7486513	7603603	g167
ScOZjSD_436	7623818	7636838	g168
ScOZjSD_436	7744163	7744465	g169
ScOZjSD_436	7798203	7807272	g170
ScOZjSD_436	7815158	7885943	g171
ScOZjSD_436	7994385	8038841	g172
ScOZjSD_436	8134034	8234571	g173
ScOZjSD_436	8271571	8286547	g174
ScOZjSD_436	8304291	8304665	g175
ScOZjSD_436	8315666	8348415	g176
ScOZjSD_436	8374574	8402520	g177
ScOZjSD_436	8511261	8512517	g178
ScOZjSD_436	8529199	8586310	g179
ScOZjSD_436	8590706	8620680	g180
ScOZjSD_436	8655847	8656233	g181
ScOZjSD_436	8668629	8719913	g182
ScOZjSD_436	8798527	8798730	g183
ScOZjSD_436	8806012	8811454	g184
ScOZjSD_436	8814425	8825191	g185
ScOZjSD_436	8865822	8870524	g186
ScOZjSD_436	8889789	8925131	g187
ScOZjSD_436	8989932	8996725	g188
ScOZjSD_436	9000683	9075965	g189
ScOZjSD_436	9094893	9100265	g190
ScOZjSD_436	9115001	9145800	g191
ScOZjSD_436	9164310	9219532	g192
ScOZjSD_436	9224521	9224721	g193
ScOZjSD_436	9284985	9349621	g194
ScOZjSD_436	9377634	9451708	g195
ScOZjSD_436	9510998	9521584	g196
ScOZjSD_436	9522813	9653554	g197
ScOZjSD_436	9671549	9761609	g198
ScOZjSD_436	9809727	9810701	g199
ScOZjSD_436	9952300	9966566	g200
ScOZjSD_436	10007718	10031627	g201
ScOZjSD_436	10068477	10095991	g202
ScOZjSD_436	10196275	10273293	g203
ScOZjSD_436	10283507	10355025	g204
ScOZjSD_436	10359281	10399154	g205
ScOZjSD_436	10537865	10583591	g206
ScOZjSD_436	10590704	10592996	g207
ScOZjSD_436	10593241	10599813	g208
ScOZjSD_436	10645294	10646378	g209
ScOZjSD_436	10652392	10652754	g210
ScOZjSD_436	10704700	10787027	g211
ScOZjSD_436	10832461	10881736	g212
ScOZjSD_436	10937175	10956014	g213
ScOZjSD_436	11069251	11069583	g214
ScOZjSD_436	11069636	11147503	g215
ScOZjSD_436	11164388	11200368	g216
ScOZjSD_436	11255786	11275820	g217
ScOZjSD_436	11305016	11386491	g218
ScOZjSD_436	11435349	11461810	g219
ScOZjSD_436	11490061	11494032	g220
ScOZjSD_436	11500371	11501166	g221
ScOZjSD_436	11503718	11519165	g222
ScOZjSD_436	11519946	11520500	g223
ScOZjSD_436	11523266	11553347	g224
ScOZjSD_436	11573732	11612711	g225
ScOZjSD_436	11643319	11665647	g226
ScOZjSD_436	11709174	11712313	g227
ScOZjSD_436	11783831	11857704	g228
ScOZjSD_436	11903025	12046207	g229
ScOZjSD_436	12169206	12172151	g230
ScOZjSD_436	12182010	12216563	g231
ScOZjSD_436	12221445	12221861	g232
ScOZjSD_436	12282210	12287542	g233
ScOZjSD_436	12307715	12316820	g234
ScOZjSD_436	12435817	12445300	g235
ScOZjSD_436	12481831	12514120	g236
ScOZjSD_436	12542580	12572137	g237
ScOZjSD_436	12640860	12649409	g238
ScOZjSD_436	12700419	12744206	g239
ScOZjSD_436	12754753	12762324	g240
ScOZjSD_436	12762476	12794831	g241
ScOZjSD_436	12939898	12974673	g242
ScOZjSD_436	13007654	13022308	g243
ScOZjSD_436	13078603	13128301	g244
ScOZjSD_436	13163086	13186647	g245
ScOZjSD_436	13205057	13237066	g246
ScOZjSD_436	13258069	13279182	g247
ScOZjSD_436	13293185	13313814	g248
ScOZjSD_436	13321720	13330727	g249
ScOZjSD_436	13331521	13340351	g250
ScOZjSD_436	13359120	13406202	g251
ScOZjSD_436	13406647	13406919	g252
ScOZjSD_436	13412680	13462948	g253
ScOZjSD_436	13474950	13501017	g254
ScOZjSD_436	13516593	13531504	g255
ScOZjSD_436	13551146	13576611	g256
ScOZjSD_436	13580108	13621791	g257
ScOZjSD_436	13654566	13654904	g258
ScOZjSD_436	13664311	13706166	g259
ScOZjSD_436	13731996	13794836	g260
ScOZjSD_436	13797801	13802049	g261
ScOZjSD_436	13847324	13957446	g262
ScOZjSD_436	13961491	14025759	g263
ScOZjSD_436	14033268	14036079	g264
ScOZjSD_436	14050028	14053368	g265
ScOZjSD_436	14062476	14100626	g266
ScOZjSD_436	14106812	14167595	g267
ScOZjSD_436	14171883	14184524	g268
ScOZjSD_436	14186311	14197675	g269
ScOZjSD_436	14205491	14240324	g270
ScOZjSD_436	14249324	14263244	g271
ScOZjSD_436	14268983	14287185	g272
ScOZjSD_436	14291508	14352407	g273
ScOZjSD_436	14353090	14373033	g274
ScOZjSD_436	14374628	14386277	g275
ScOZjSD_436	14392445	14427499	g276
ScOZjSD_436	14450828	14496032	g277
ScOZjSD_436	14498020	14511638	g278
ScOZjSD_436	14527154	14620078	g279
ScOZjSD_436	14622628	14718334	g280
ScOZjSD_436	14731069	14732597	g281
ScOZjSD_436	14769087	14799888	g282
ScOZjSD_436	14808202	14866823	g283
ScOZjSD_436	14867753	14868142	g284
ScOZjSD_436	14881341	14891287	g285
ScOZjSD_436	14919161	14937251	g286
ScOZjSD_436	14958666	14997692	g287
ScOZjSD_436	15000379	15000684	g288
ScOZjSD_436	15001576	15033533	g289
ScOZjSD_436	15045625	15092811	g290
ScOZjSD_436	15105786	15105995	g291
ScOZjSD_436	15217671	15229270	g292
ScOZjSD_436	15232950	15295802	g293
ScOZjSD_436	15358215	15358709	g294
ScOZjSD_436	15368518	15420085	g295
ScOZjSD_436	15531967	15572210	g296
ScOZjSD_436	15593611	15645363	g297
ScOZjSD_436	15649902	15703577	g298
ScOZjSD_436	15710257	15710978	g299
ScOZjSD_436	15713086	15803669	g300
ScOZjSD_436	15823096	15827459	g301
ScOZjSD_436	15853897	15912250	g302
ScOZjSD_436	15917550	15937971	g303
ScOZjSD_436	15938094	15949415	g304
ScOZjSD_436	15951703	15958782	g305
ScOZjSD_436	15960997	15980940	g306
ScOZjSD_436	15982628	16034333	g307
ScOZjSD_436	16065770	16120410	g308
ScOZjSD_436	16129454	16257066	g309
ScOZjSD_436	16306512	16336631	g310
ScOZjSD_436	16346988	16364922	g311
ScOZjSD_436	16365243	16390518	g312
ScOZjSD_436	16396786	16423924	g313
ScOZjSD_436	16428766	16492155	g314
ScOZjSD_436	16493845	16495563	g315
ScOZjSD_436	16529642	16529944	g316
ScOZjSD_436	16535863	16564001	g317
ScOZjSD_436	16577504	16577746	g318
ScOZjSD_436	16580439	16586829	g319
ScOZjSD_436	16614058	16672804	g320
ScOZjSD_436	16690709	16746199	g321
ScOZjSD_436	16747559	16762676	g322
ScOZjSD_436	16764920	16780762	g323
ScOZjSD_436	16784383	16846664	g324
ScOZjSD_436	16854417	16889065	g325
ScOZjSD_436	16893731	16924532	g326
ScOZjSD_436	16935527	16946478	g327
ScOZjSD_436	16952565	16971004	g328
ScOZjSD_436	17002618	17027508	g329
ScOZjSD_436	17032238	17036063	g330
ScOZjSD_436	17074874	17079410	g331
ScOZjSD_436	17097152	17120599	g332
ScOZjSD_436	17122525	17162969	g333
ScOZjSD_436	17166562	17176463	g334
ScOZjSD_436	17178788	17187793	g335
ScOZjSD_436	17191305	17199198	g336
ScOZjSD_436	17201370	17222054	g337
ScOZjSD_436	17227186	17351390	g338
ScOZjSD_436	17412429	17461383	g339
ScOZjSD_436	17463342	17485123	g340
ScOZjSD_436	17492770	17499914	g341
ScOZjSD_436	17501412	17604097	g342
ScOZjSD_436	17667941	17704781	g343
ScOZjSD_436	17862206	17913284	g344
ScOZjSD_436	17913469	17919560	g345
ScOZjSD_436	17920191	17935280	g346
ScOZjSD_436	17939993	17945924	g347
ScOZjSD_436	17966614	17974348	g348
ScOZjSD_436	18013414	18016877	g349
ScOZjSD_436	18053106	18088144	g350
ScOZjSD_436	18091173	18107647	g351
ScOZjSD_436	18113899	18114244	g352
ScOZjSD_436	18115514	18138603	g353
ScOZjSD_436	18146426	18146740	g354
ScOZjSD_436	18164708	18165172	g355
ScOZjSD_436	18240026	18280218	g356
ScOZjSD_436	18299316	18397865	g357
ScOZjSD_436	18422364	18447284	g358
ScOZjSD_436	18493480	18494724	g359
ScOZjSD_436	18518981	18525804	g360
ScOZjSD_436	18579558	18579776	g361
ScOZjSD_436	18614240	18633811	g362
ScOZjSD_436	18663982	18664254	g363
ScOZjSD_436	18668431	18698559	g364
ScOZjSD_436	18721465	18745312	g365
ScOZjSD_436	18750808	18853956	g366
ScOZjSD_436	18861444	18906467	g367
ScOZjSD_436	18916224	18916439	g368
ScOZjSD_436	19002433	19059514	g369
ScOZjSD_436	19098207	19147180	g370
ScOZjSD_436	19147280	19162137	g371
ScOZjSD_436	19225021	19225368	g372
ScOZjSD_436	19269380	19270871	g373
ScOZjSD_436	19270960	19329238	g374
ScOZjSD_436	19347063	19394000	g375
ScOZjSD_436	19421200	19422945	g376
ScOZjSD_436	19430175	19470153	g377
ScOZjSD_436	19479644	19498391	g378
ScOZjSD_436	19512986	19515425	g379
ScOZjSD_436	19523034	19530578	g380
ScOZjSD_436	19540074	19552664	g381
ScOZjSD_436	19564721	19610869	g382
ScOZjSD_436	19611478	19655655	g383
ScOZjSD_436	19656119	19677873	g384
ScOZjSD_436	19704880	19839254	g385
ScOZjSD_436	19882458	19939454	g386
ScOZjSD_436	19956778	19988878	g387
ScOZjSD_436	19993351	19997610	g388
ScOZjSD_436	20004661	20087327	g389
ScOZjSD_436	20087581	20087982	g390
ScOZjSD_436	20126555	20139523	g391
ScOZjSD_436	20171441	20171656	g392
ScOZjSD_436	20171791	20192375	g393
ScOZjSD_436	20205515	20318122	g394
ScOZjSD_436	20318416	20319847	g395
ScOZjSD_436	20325228	20348997	g396
ScOZjSD_436	20350710	20351057	g397
ScOZjSD_436	20352092	20389632	g398
ScOZjSD_436	20409676	20427342	g399
ScOZjSD_436	20459613	20646972	g400
ScOZjSD_436	20649619	20669864	g401
ScOZjSD_436	20675386	20702930	g402
ScOZjSD_436	20726032	20766728	g403
ScOZjSD_436	20770830	20796343	g404
ScOZjSD_436	20825462	20825767	g405
ScOZjSD_436	20951689	20951937	g406
ScOZjSD_436	21040384	21040599	g407
ScOZjSD_436	21472186	21508623	g408
ScOZjSD_436	21515861	21550067	g409
ScOZjSD_436	21898514	21988022	g410
ScOZjSD_436	22079589	22087832	g411
ScOZjSD_436	22153037	22168155	g412
ScOZjSD_436	22229798	22233864	g413
ScOZjSD_436	22256679	22279275	g414
ScOZjSD_436	22336725	22374382	g415
ScOZjSD_436	22392161	22475202	g416
ScOZjSD_436	22505464	22668825	g417
ScOZjSD_436	22691793	22707014	g418
ScOZjSD_436	22710799	22721087	g419
ScOZjSD_436	22728436	22739976	g420
ScOZjSD_436	22829006	22829299	g421
ScOZjSD_436	22874015	22879168	g422
ScOZjSD_436	22902317	22968457	g423
ScOZjSD_436	23039472	23181777	g424
ScOZjSD_436	23229498	23262886	g425
ScOZjSD_436	23263351	23263740	g426
ScOZjSD_436	23295321	23299335	g427
ScOZjSD_436	23301121	23383347	g428
ScOZjSD_436	23390286	23486422	g429
ScOZjSD_436	23487515	23503006	g430
ScOZjSD_436	23507519	23524619	g431
ScOZjSD_436	23599577	23656170	g432
ScOZjSD_436	23661739	23662023	g433
ScOZjSD_436	23663529	23673000	g434
ScOZjSD_436	23721803	23739810	g435
ScOZjSD_436	23745434	23788332	g436
ScOZjSD_436	23827375	23831615	g437
ScOZjSD_436	23834326	23842300	g438
ScOZjSD_436	23872522	23910325	g439
ScOZjSD_436	23915006	23915326	g440
ScOZjSD_436	23937239	23945670	g441
ScOZjSD_436	23974570	24021992	g442
ScOZjSD_436	24039327	24116913	g443
ScOZjSD_436	24133652	24155027	g444
ScOZjSD_436	24165233	24172945	g445
ScOZjSD_436	24173345	24221543	g446
ScOZjSD_436	24226008	24233486	g447
ScOZjSD_436	24235440	24307713	g448
ScOZjSD_436	24376646	24397125	g449
ScOZjSD_436	24417714	24460398	g450
ScOZjSD_436	24476224	24551886	g451
ScOZjSD_436	24563609	24569459	g452
ScOZjSD_436	24579022	24651106	g453
ScOZjSD_436	24657287	24666103	g454
ScOZjSD_436	24666291	24666548	g455
ScOZjSD_436	24667518	24709693	g456
ScOZjSD_436	24730158	24749234	g457
ScOZjSD_436	24799674	24807814	g458
ScOZjSD_436	24812979	24836997	g459
ScOZjSD_436	24840469	24874574	g460
ScOZjSD_436	24923732	24938196	g461
ScOZjSD_436	24944606	24945265	g462
ScOZjSD_436	24947882	25001096	g463
ScOZjSD_436	25010790	25110386	g464
ScOZjSD_436	25153393	25174495	g465
ScOZjSD_436	25190372	25245490	g466
ScOZjSD_436	25268336	25298493	g467
ScOZjSD_436	25314342	25314596	g468
ScOZjSD_436	25336305	25345322	g469
ScOZjSD_436	25361075	25437667	g470
ScOZjSD_436	25470725	25531719	g471
ScOZjSD_436	25538596	25601179	g472
ScOZjSD_436	25607960	25667946	g473
ScOZjSD_436	25677451	25701966	g474
ScOZjSD_436	25715163	25725263	g475
ScOZjSD_436	25729902	25747092	g476
ScOZjSD_436	25765853	25810959	g477
ScOZjSD_436	25856313	25857311	g478
ScOZjSD_436	25997083	25997313	g479
ScOZjSD_436	25997789	26010231	g480
ScOZjSD_436	26021123	26030616	g481
ScOZjSD_436	26040235	26040813	g482
ScOZjSD_436	26049983	26086550	g483
ScOZjSD_436	26106102	26129587	g484
ScOZjSD_436	26140839	26141147	g485
ScOZjSD_436	26159006	26293189	g486
ScOZjSD_436	26310973	26311410	g487
ScOZjSD_436	26311437	26311844	g488
ScOZjSD_436	26323910	26371184	g489
ScOZjSD_436	26376885	26380901	g490
ScOZjSD_436	26386628	26442778	g491
ScOZjSD_436	26468013	26476981	g492
ScOZjSD_436	26490004	26496978	g493
ScOZjSD_436	26498832	26643023	g494
ScOZjSD_436	26647827	26648123	g495
ScOZjSD_436	26650279	26653164	g496
ScOZjSD_436	26671998	26676113	g497
ScOZjSD_436	26794722	26811313	g498
ScOZjSD_436	26845578	26859620	g499
ScOZjSD_436	26861557	26869498	g500
ScOZjSD_436	26884778	26894225	g501
ScOZjSD_436	26985594	27067434	g502
ScOZjSD_436	27103224	27141114	g503
ScOZjSD_436	27168734	27169126	g504
ScOZjSD_436	27182873	27246289	g505
ScOZjSD_436	27315646	27315903	g506
ScOZjSD_436	27480512	27578520	g507
ScOZjSD_436	27600608	27601171	g508
ScOZjSD_436	27671537	27736983	g509
ScOZjSD_436	27789472	27796799	g510
ScOZjSD_436	27799444	27819809	g511
ScOZjSD_436	27833136	27878562	g512
ScOZjSD_436	27898138	27932821	g513
ScOZjSD_436	27996776	27998346	g514
ScOZjSD_436	28009971	28032423	g515
ScOZjSD_436	28034055	28054759	g516
ScOZjSD_436	28111996	28113327	g517
ScOZjSD_436	28127244	28156346	g518
ScOZjSD_436	28177858	28254769	g519
ScOZjSD_436	28286086	28286304	g520
ScOZjSD_436	28302733	28329960	g521
ScOZjSD_436	28332442	28365710	g522
ScOZjSD_436	28391276	28453132	g523
ScOZjSD_436	28469923	28519016	g524
ScOZjSD_436	28533771	28538827	g525
ScOZjSD_436	28551880	28567847	g526
ScOZjSD_436	28578414	28578851	g527
ScOZjSD_436	28613668	28615554	g528
ScOZjSD_436	28655639	28669885	g529
ScOZjSD_436	28675234	28697228	g530
ScOZjSD_436	28726889	28741309	g531
ScOZjSD_436	28774783	28775052	g532
ScOZjSD_436	28842335	28873887	g533
ScOZjSD_436	28891287	28891868	g534
ScOZjSD_436	28905795	28936855	g535
ScOZjSD_436	28943180	28957369	g536
ScOZjSD_436	28969735	28970013	g537
ScOZjSD_436	28970116	28989351	g538
ScOZjSD_436	28994975	29004257	g539
ScOZjSD_436	29004332	29095507	g540
ScOZjSD_436	29304474	29314823	g541
ScOZjSD_436	29370814	29424521	g542
ScOZjSD_436	29434083	29469053	g543
ScOZjSD_436	29470818	29489817	g544
ScOZjSD_436	29511461	29516874	g545
ScOZjSD_436	29539065	29543305	g546
ScOZjSD_436	29545966	29568754	g547
ScOZjSD_436	29580923	29589061	g548
ScOZjSD_436	29592287	29596889	g549
ScOZjSD_436	29608530	29655829	g550
ScOZjSD_436	29666773	29697874	g551
ScOZjSD_436	29707515	29722216	g552
ScOZjSD_436	29732854	29788255	g553
ScOZjSD_436	29813302	29813634	g554
ScOZjSD_436	29819916	29858537	g555
ScOZjSD_436	29884295	29973544	g556
ScOZjSD_436	29976201	30060089	g557
ScOZjSD_436	30111196	30214718	g558
ScOZjSD_436	30244485	30359863	g559
ScOZjSD_436	30360562	30369374	g560
ScOZjSD_436	30372594	30417577	g561
ScOZjSD_436	30572118	30596185	g562
ScOZjSD_436	30646642	30654481	g563
ScOZjSD_436	30655408	30657950	g564
ScOZjSD_436	30696162	30696551	g565
ScOZjSD_436	30722316	30806821	g566
ScOZjSD_436	30844513	30845364	g567
ScOZjSD_436	30852656	30853233	g568
ScOZjSD_436	30921098	31033999	g569
ScOZjSD_436	31062211	31137318	g570
ScOZjSD_436	31145500	31170403	g571
ScOZjSD_436	31170510	31172334	g572
ScOZjSD_436	31172678	31177940	g573
ScOZjSD_436	31178486	31193121	g574
ScOZjSD_436	31245923	31246189	g575
ScOZjSD_436	31289469	31396897	g576
ScOZjSD_436	31397215	31404463	g577
ScOZjSD_436	31637402	31672974	g578
ScOZjSD_436	31703033	31750085	g579
ScOZjSD_436	31812739	31813805	g580
ScOZjSD_436	31816468	31816830	g581
ScOZjSD_436	31892897	31893481	g582
ScOZjSD_436	31898107	31898520	g583
ScOZjSD_436	31971249	31971608	g584
ScOZjSD_436	31979802	31980032	g585
ScOZjSD_436	32018950	32019336	g586
ScOZjSD_436	32023161	32025885	g587
ScOZjSD_436	32055127	32150721	g588
ScOZjSD_436	32152815	32153240	g589
ScOZjSD_436	32153267	32155920	g590
ScOZjSD_436	32179908	32187040	g591
ScOZjSD_436	32187149	32187460	g592
ScOZjSD_436	32187486	32188214	g593
ScOZjSD_436	32258340	32258933	g594
ScOZjSD_436	32348543	32372065	g595
ScOZjSD_436	32444640	32445032	g596
ScOZjSD_436	32451334	32472883	g597
ScOZjSD_436	32499268	32552376	g598
ScOZjSD_436	32585714	32629515	g599
ScOZjSD_436	32657791	32727261	g600
ScOZjSD_436	32801952	32822529	g601
ScOZjSD_436	32889493	32889915	g602
ScOZjSD_436	32954461	32962750	g603
ScOZjSD_436	32989583	32989939	g604
ScOZjSD_436	32993511	32994158	g605
ScOZjSD_436	33006008	33007018	g606
ScOZjSD_436	33014841	33015182	g607
ScOZjSD_436	33032280	33033122	g608
ScOZjSD_436	33035132	33047622	g609
ScOZjSD_436	33099740	33106968	g610
ScOZjSD_436	33144127	33144522	g611
ScOZjSD_436	33261853	33288515	g612
ScOZjSD_443	25249	25815	g613
ScOZjSD_446	1	2683	g614
ScOZjSD_449	380	1747	g615
ScOZjSD_492	304	705	g616
ScOZjSD_492	789	3010	g617
ScOZjSD_497	1	932	g618
ScOZjSD_508	170	965	g619
ScOZjSD_519	1	359	g620
ScOZjSD_534	52644	75066	g621
ScOZjSD_534	118371	130171	g622
ScOZjSD_534	200522	270941	g623
ScOZjSD_541	1	29562	g624
ScOZjSD_541	44348	45154	g625
ScOZjSD_541	53837	63663	g626
ScOZjSD_541	69540	92576	g627
ScOZjSD_541	182011	182508	g628
ScOZjSD_541	250017	259439	g629
ScOZjSD_541	286349	365534	g630
ScOZjSD_541	388480	402274	g631
ScOZjSD_541	404416	414078	g632
ScOZjSD_541	421688	445278	g633
ScOZjSD_541	518074	547700	g634
ScOZjSD_541	549238	555740	g635
ScOZjSD_541	566062	594670	g636
ScOZjSD_541	604186	631963	g637
ScOZjSD_541	640502	691590	g638
ScOZjSD_541	691813	700797	g639
ScOZjSD_541	708413	720238	g640
ScOZjSD_541	760656	785808	g641
ScOZjSD_541	787371	800950	g642
ScOZjSD_541	801204	829962	g643
ScOZjSD_541	836333	838483	g644
ScOZjSD_541	839022	844067	g645
ScOZjSD_541	851785	888944	g646
ScOZjSD_541	889919	953771	g647
ScOZjSD_541	1003520	1004677	g648
ScOZjSD_541	1004739	1105988	g649
ScOZjSD_541	1107995	1115234	g650
ScOZjSD_541	1121817	1131129	g651
ScOZjSD_541	1267942	1343267	g652
ScOZjSD_541	1502018	1502383	g653
ScOZjSD_541	1508110	1512002	g654
ScOZjSD_541	1514159	1516777	g655
ScOZjSD_541	1564126	1575535	g656
ScOZjSD_541	1581376	1606179	g657
ScOZjSD_541	1606394	1608697	g658
ScOZjSD_541	1620118	1655762	g659
ScOZjSD_541	1663563	1704852	g660
ScOZjSD_541	1717379	1748733	g661
ScOZjSD_541	1786620	1787126	g662
ScOZjSD_541	1800085	1806314	g663
ScOZjSD_541	1806962	1813930	g664
ScOZjSD_541	1814566	1827927	g665
ScOZjSD_541	1839464	1850708	g666
ScOZjSD_541	1851977	1867973	g667
ScOZjSD_541	1874689	1874964	g668
ScOZjSD_541	1878934	1879137	g669
ScOZjSD_541	1891931	1922523	g670
ScOZjSD_541	2002956	2079153	g671
ScOZjSD_541	2084995	2148577	g672
ScOZjSD_541	2152345	2152722	g673
ScOZjSD_541	2227292	2235385	g674
ScOZjSD_541	2237591	2239826	g675
