id_arv	id_mouse	eval
g18	CMC2	8.49e-11
g18	SCMC3	6.75e-14
g18	SCMC3	5.29e-09
g22	ODFP2	9.83e-13
g23	CES1F	2.25e-31
g23	CES1D	8.19e-27
g23	EST1	1.13e-25
g23	EST1E	8.26e-25
g23	EST1C	6.28e-20
g23	LORF2	7.06e-16
g23	EST2A	3.32e-13
g23	EST4A	1.36e-11
g27	RS18	8.37e-49
g28	UBA1Y	3.10e-87
g28	UBA1	5.42e-82
g28	UBA6	5.75e-26
g29	LAMA1	4.98e-10
g30	GNPAT	0.0
g30	GPAT1	1.91e-35
g30	GPAT2	1.52e-09
g31	METL4	6.19e-28
g31	NDC80	1.07e-17
g42	RS2	3.18e-102
g45	ERF1	7.08e-07
g47	HS90B	1.63e-39
g47	HS90A	1.95e-27
g47	ENPL	9.86e-23
g48	HS90B	1.26e-64
g48	HS90A	2.39e-54
g48	ENPL	6.82e-13
g51	ATPA	2.87e-38
g51	LORF2	1.38e-28
g52	SMKX	2.73e-53
g52	SMK3B	6.90e-47
g52	SMK3A	6.90e-47
g52	SMK2A	3.34e-45
g52	SMKW	4.08e-45
g52	MARK4	1.78e-44
g52	SMK2B	6.56e-43
g52	MARK3	2.17e-42
g54	1433T	1.43e-132
g54	1433Z	1.17e-107
g54	1433B	1.75e-106
g54	1433S	8.76e-87
g54	1433F	2.25e-84
g54	1433G	2.43e-84
g54	1433E	6.21e-80
g56	DYL1	1.09e-41
g56	DYL2	9.35e-41
g56	DNAL4	5.74e-11
g57	RS11	5.28e-26
g58	LORF2	0.0
g60	PACA	1.91e-109
g60	VIP	2.07e-16
g61	LORF2	1.23e-54
g62	IGEB	2.53e-07
g65	YES	0.0
g65	SRC	0.0
g65	FYN	7.37e-176
g65	FGR	4.45e-168
g65	HCK	4.02e-136
g65	LYN	4.95e-133
g65	LCK	5.33e-124
g65	BLK	4.05e-123
g66	LORF1	5.32e-55
g66	LORF2	1.11e-12
g67	NAA20	3.63e-103
g67	NAA11	5.02e-16
g67	NAA10	5.28e-14
g67	NAA50	8.17e-07
g69	MDR1B	1.20e-157
g69	MDR1B	1.18e-46
g69	MDR1B	1.13e-42
g69	MDR1B	3.49e-30
g69	MDR1B	2.40e-12
g69	MDR1B	2.00e-10
g69	MDR1A	9.08e-129
g69	MDR1A	6.11e-48
g69	MDR1A	2.87e-41
g69	MDR1A	7.97e-34
g69	MDR1A	1.63e-12
g69	MDR1A	9.88e-10
g69	MDR3	4.52e-103
g69	MDR3	5.55e-43
g69	MDR3	4.36e-32
g69	MDR3	1.07e-22
g69	MDR3	1.30e-15
g69	MDR3	1.62e-12
g69	MDR3	5.49e-10
g69	ABCB5	6.42e-74
g69	ABCB5	5.68e-33
g69	ABCB5	3.43e-26
g69	ABCB5	8.48e-14
g69	ABCB5	9.91e-11
g69	ABCB5	4.21e-08
g69	ABCBB	1.20e-60
g69	ABCBB	8.45e-31
g69	ABCBB	6.45e-22
g69	ABCBB	1.36e-14
g69	ABCBB	8.87e-13
g69	ABCBB	2.60e-07
g69	ABCBB	1.04e-06
g69	ABCB9	5.64e-17
g69	ABCB9	7.27e-09
g69	ABCBA	1.60e-12
g69	ABCBA	5.75e-09
g69	TAP2	2.94e-10
g70	MDR1A	3.54e-34
g70	MDR1A	4.71e-26
g70	MDR1A	4.33e-24
g70	MDR1A	1.99e-22
g70	MDR1A	4.15e-22
g70	MDR1A	2.66e-11
g70	MDR1A	4.98e-06
g70	MDR1B	6.13e-28
g70	MDR1B	3.03e-26
g70	MDR1B	2.01e-22
g70	MDR1B	1.74e-21
g70	MDR1B	2.84e-19
g70	MDR1B	3.78e-11
g70	MDR1B	4.93e-06
g70	MDR3	7.78e-27
g70	MDR3	4.80e-18
g70	MDR3	1.11e-17
g70	MDR3	1.34e-17
g70	MDR3	1.55e-13
g70	MDR3	2.10e-11
g70	ABCBB	1.89e-15
g70	ABCBB	1.92e-12
g70	ABCBB	5.65e-10
g70	ABCBB	9.28e-10
g70	ABCBB	1.35e-06
g70	ABCB5	3.53e-13
g70	ABCB5	1.05e-12
g70	ABCB5	3.57e-11
g70	ABCB5	1.14e-10
g70	ABCB5	6.86e-09
g70	ABCB5	1.32e-08
g70	ABCBA	3.39e-07
g70	ABCB6	1.34e-06
g70	ABCB8	2.96e-06
g71	MDR1A	1.07e-35
g71	MDR1B	2.07e-24
g71	MDR3	1.77e-20
g71	ABCB5	8.62e-09
g71	ABCBB	9.25e-09
g72	RUN3B	1.02e-112
g72	RUN3B	1.33e-17
g72	RUN3A	2.29e-65
g72	RUFY3	7.89e-11
g72	RUFY2	7.24e-10
g72	RUFY1	7.18e-08
g73	RUN3B	3.41e-43
g73	RUN3A	2.21e-16
g74	S2540	3.54e-176
g74	S2539	2.25e-94
g74	S2538	2.22e-25
g74	S2538	3.66e-07
g74	S2538	7.27e-07
g74	CMC2	2.52e-18
g74	CMC2	3.54e-12
g74	SCMC1	4.15e-18
g74	SCMC1	1.08e-06
g74	S2541	6.87e-18
g74	S2541	1.57e-10
g74	CMC1	8.47e-18
g74	CMC1	1.75e-09
g74	GDC	3.00e-17
g74	GDC	5.97e-11
g75	DBF4A	0.0
g79	ADA22	5.64e-10
g82	ADA22	0.0
g82	ADA11	1.12e-137
g82	ADA11	1.09e-65
g82	ADA23	3.58e-110
g82	ADA23	1.15e-54
g82	ADA33	3.58e-41
g82	ADA33	3.60e-20
g82	ADAM9	2.86e-36
g82	ADAM9	2.01e-17
g82	ADA12	1.49e-35
g82	ADA12	8.58e-25
g82	ADA25	3.09e-35
g82	ADA21	7.08e-34
g82	ADA21	1.23e-13
g83	SORCN	4.01e-100
g83	GRAN	2.21e-66
g83	PEF1	2.38e-22
g83	PDCD6	2.03e-20
g83	CPNS1	2.15e-20
g83	CAN3	1.48e-17
g83	CPNS2	1.78e-17
g83	CAN9	7.37e-16
g84	STEA4	0.0
g84	STEA2	5.26e-156
g84	STEA3	9.49e-147
g84	STEA1	6.12e-77
g88	PLK1	0.0
g88	PLK3	3.74e-95
g88	PLK2	4.31e-90
g88	PLK5	4.40e-75
g88	PLK4	1.45e-36
g88	AAPK1	6.75e-30
g88	AAPK2	2.72e-29
g88	AURKC	7.18e-28
g93	TEX47	1.99e-164
g97	Z804A	1.34e-24
g97	GPTC8	3.68e-24
g98	GPTC8	1.97e-24
g98	GPTC8	5.86e-22
g98	GPTC8	8.73e-15
g98	Z804A	2.36e-24
g98	Z804A	3.10e-11
g98	Z804A	5.20e-06
g104	RLP24	5.73e-93
g105	LORF2	3.50e-54
g106	PM34	2.88e-60
g107	STEA1	1.11e-152
g107	STEA2	2.13e-76
g107	STEA3	1.33e-69
g107	STEA4	3.74e-51
g109	STEA2	0.0
g109	STEA3	0.0
g109	STEA4	1.04e-152
g109	STEA1	3.38e-98
g110	CFA69	0.0
g112	CFA69	0.0
g114	GTPBA	0.0
g115	CLD12	1.72e-176
g115	CLD19	1.93e-08
g115	CLD8	6.80e-08
g115	CLD7	8.58e-06
g121	CDK14	1.63e-29
g121	CDK15	2.39e-15
g121	CDK17	1.27e-14
g121	CDK16	1.61e-14
g121	CDK18	9.64e-14
g121	CDK1	1.17e-09
g121	CDK3	6.79e-09
g121	CDK2	1.22e-08
g122	CDK14	4.76e-17
g122	CDK15	3.16e-16
g122	CDK16	1.79e-11
g122	CDK18	3.60e-11
g122	CDK17	7.06e-11
g122	CDK5	2.82e-08
g122	CDK2	2.14e-07
g122	MARK4	7.30e-06
g124	CDK14	4.27e-46
g124	CDK14	2.49e-21
g124	CDK15	2.70e-30
g124	CDK15	3.99e-15
g124	CDK17	1.85e-28
g124	CDK17	5.51e-15
g124	CDK16	3.71e-28
g124	CDK16	4.26e-15
g124	CDK18	1.60e-27
g124	CDK18	4.07e-15
g124	CDK5	6.93e-22
g124	CDK5	8.38e-15
g124	CDK3	9.30e-20
g124	CDK3	2.69e-08
g124	CD11B	2.25e-17
g124	CD11B	5.13e-06
g125	CDK14	1.72e-38
g125	CDK15	1.64e-12
g127	FZD1	0.0
g127	FZD7	0.0
g127	FZD2	0.0
g127	FZD5	3.97e-177
g127	FZD8	5.91e-168
g127	FZD10	8.53e-167
g127	FZD3	2.19e-163
g127	FZD6	5.60e-152
g133	PSB7	0.0
g133	PSB10	1.01e-112
g133	PSB6	2.70e-25
g133	PSB5	8.05e-17
g133	PSB11	2.10e-16
g133	PSB9	4.52e-16
g133	PSB8	1.92e-15
g133	PSA5	7.10e-07
g137	MTF1A	0.0
g137	MTF1B	0.0
g137	MTEF2	4.61e-38
g137	MTEF3	8.42e-06
g138	ZN182	4.77e-11
g138	ZNF8	1.45e-10
g138	ZN120	5.09e-10
g138	ZFP57	1.57e-09
g138	ZN809	5.37e-09
g138	ZFP39	1.28e-08
g138	ZN431	1.57e-08
g138	ZFP26	2.51e-08
g139	AKAP9	0.0
g139	AKAP9	0.0
g139	AKAP9	0.0
g139	AKAP9	7.49e-15
g139	PCNT	8.49e-23
g139	PCNT	3.93e-19
g140	NDC80	1.70e-80
g140	NDC80	2.36e-06
g140	CP51A	1.73e-27
g140	KPYM	1.47e-26
g140	KPYR	4.86e-24
g141	SMKW	2.58e-35
g141	SMKX	8.39e-29
g141	BRSK2	1.28e-28
g141	AAPK2	1.35e-28
g141	AAPK1	7.26e-28
g141	SMKY	1.56e-27
g141	BRSK1	1.75e-27
g141	SIK3	2.13e-27
g142	ABCB5	0.0
g142	MDR3	0.0
g142	MDR3	0.0
g142	MDR3	3.09e-138
g142	MDR3	8.87e-127
g142	MDR1A	0.0
g142	MDR1A	0.0
g142	MDR1A	3.68e-137
g142	MDR1A	6.42e-125
g142	MDR1B	0.0
g142	MDR1B	0.0
g142	MDR1B	2.71e-133
g142	MDR1B	6.63e-127
g142	ABCBB	0.0
g142	ABCBB	0.0
g142	ABCBB	4.48e-135
g142	ABCBB	1.16e-102
g142	ABCBA	1.31e-105
g142	ABCBA	1.19e-101
g142	ABCB8	5.28e-100
g142	ABCB8	2.11e-88
g142	ABCB9	1.40e-94
g142	ABCB9	1.11e-81
g143	OCTC	2.62e-135
g143	OCTC	1.07e-86
g143	OCTC	2.81e-44
g143	CACP	4.09e-24
g143	CACP	6.60e-19
g143	CPT1A	1.09e-23
g143	CLAT	1.41e-22
g143	CLAT	1.07e-14
g143	CPT1B	1.57e-18
g143	CPT1B	1.89e-13
g143	CPT1C	6.21e-17
g143	CPT1C	2.24e-09
g143	CPT2	2.13e-16
g143	CPT2	3.96e-13
g146	DMTF1	0.0
g146	LORF2	2.76e-28
g146	TTF1	9.36e-18
g146	MYBA	3.71e-08
g146	MYB	8.48e-08
g146	MYBB	4.49e-06
g151	K132L	0.0
g151	K132L	2.40e-32
g151	K1324	0.0
g151	K1324	4.79e-16
g152	GRM3	0.0
g152	GRM2	4.51e-171
g152	GRM8	7.22e-101
g152	GRM7	1.42e-98
g152	GRM4	1.10e-94
g152	GRM6	8.30e-94
g152	GRM5	4.94e-91
g152	GRM1	3.01e-84
g153	GRM3	0.0
g153	GRM2	0.0
g153	GRM8	3.57e-133
g153	GRM4	6.69e-131
g153	GRM7	9.04e-127
g153	GRM6	7.53e-123
g153	GRM5	4.88e-109
g153	GRM1	2.66e-108
g160	LORF2	5.24e-17
g162	LORF2	9.85e-12
g163	HS90B	8.44e-07
g164	EF1A1	8.53e-40
g164	EF1A2	3.71e-37
g164	ERF3A	5.98e-07
g164	ERF3B	6.90e-07
g171	SEM3D	0.0
g171	SEM3A	3.57e-169
g171	SEM3E	1.08e-132
g171	SEM3F	1.49e-125
g171	SEM3G	4.43e-115
g171	SEM3B	3.55e-111
g171	SEM3C	1.21e-100
g171	SEM3C	1.81e-23
g171	SEM4D	3.85e-47
g172	LORF2	3.14e-11
g178	ENOA	0.0
g178	ENOA	1.72e-13
g178	ENOG	0.0
g178	ENOG	1.36e-10
g178	ENOB	0.0
g178	ENOB	3.23e-09
g178	ENO4	4.43e-10
g179	SEM3A	7.32e-45
g179	SEM3B	1.15e-15
g179	SEM3D	1.98e-14
g179	SEM3E	4.51e-11
g179	SEM3C	6.61e-11
g179	SEM3F	1.64e-09
g179	SEM4B	1.92e-06
g179	SEM4D	1.97e-06
g182	SEM3A	0.0
g182	SEM3D	0.0
g182	SEM3E	0.0
g182	SEM3B	0.0
g182	SEM3C	0.0
g182	SEM3F	0.0
g182	SEM3G	0.0
g182	SEM4D	6.72e-77
g189	SEM3E	8.36e-08
g191	SEM3E	7.29e-69
g191	SEM3G	3.36e-36
g191	SEM3A	1.45e-26
g191	SEM3C	3.76e-26
g191	SEM3D	1.92e-25
g191	SEM3B	1.15e-23
g191	SEM3F	2.08e-22
g191	SEM4G	4.61e-16
g192	SEM3E	0.0
g192	SEM3A	0.0
g192	SEM3G	0.0
g192	SEM3D	0.0
g192	SEM3C	0.0
g192	SEM3F	0.0
g192	SEM3B	2.36e-178
g192	SEM4C	2.31e-75
g194	LORF2	1.19e-47
g195	PCLO	0.0
g195	PCLO	4.32e-29
g195	BSN	1.86e-26
g195	BSN	2.76e-18
g196	PCLO	0.0
g196	BSN	7.83e-84
g197	PCLO	0.0
g197	PCLO	0.0
g197	BSN	2.21e-91
g197	BSN	4.40e-54
g197	BSN	1.15e-12
g197	RIMS1	2.64e-25
g197	RIMS1	4.89e-14
g197	RIMS1	1.16e-09
g197	RIMS1	2.72e-09
g197	RIMS2	1.64e-23
g197	RIMS2	1.18e-14
g197	RIMS2	1.38e-08
g197	RIMS2	5.58e-08
g197	RP3A	5.63e-20
g197	RP3A	1.44e-19
g197	SYT7	6.64e-20
g197	SYT7	1.16e-10
g197	DOC2G	1.66e-19
g197	SYTL5	2.10e-19
g197	SYTL5	3.52e-17
g198	KRIT1	2.96e-24
g198	BCAT2	7.00e-21
g198	BCAT1	4.76e-11
g199	IGEB	2.01e-47
g200	CA2D1	5.37e-13
g203	CA2D1	3.62e-103
g203	CA2D2	1.72e-61
g203	CA2D3	9.51e-22
g203	CA2D4	5.18e-20
g204	CA2D1	0.0
g204	CA2D2	0.0
g204	CA2D4	2.50e-52
g204	CA2D3	4.05e-49
g204	CAHD1	5.67e-07
g206	HGF	0.0
g206	HGF	2.83e-53
g206	HGF	3.80e-11
g206	HGFL	1.43e-102
g206	HGFL	4.45e-65
g206	HGFL	4.89e-47
g206	HGFL	7.50e-19
g206	PLMN	2.08e-95
g206	PLMN	2.24e-83
g206	PLMN	8.75e-72
g206	PLMN	1.04e-43
g206	THRB	1.79e-25
g206	THRB	3.66e-19
g206	THRB	4.26e-15
g206	ROR2	4.25e-18
g206	ROR2	1.19e-12
g206	ROR2	7.62e-11
g206	ROR1	2.98e-17
g206	ROR1	8.40e-14
g206	ROR1	2.40e-13
g206	TPA	1.04e-16
g206	TPA	1.02e-14
g206	TPA	5.46e-10
g206	KREM1	1.41e-09
g206	KREM1	4.00e-07
g206	KREM1	2.92e-06
g208	HGF	4.71e-141
g208	HGFL	4.46e-39
g208	PLMN	1.32e-29
g208	TRYB1	5.34e-28
g208	ENTK	9.11e-27
g208	TMPS3	3.02e-23
g208	CTRB1	7.28e-23
g208	TRYB2	1.22e-22
g210	TBB5	3.89e-36
g210	TBB4B	1.11e-34
g210	TBB2A	3.85e-34
g210	TBB2B	4.99e-34
g210	TBB4A	1.74e-33
g210	TBB6	6.21e-32
g210	TBB3	3.31e-31
g210	TBB1	1.21e-26
g211	CDHR3	1.98e-51
g211	CDHR3	1.75e-21
g211	CDHR3	2.76e-10
g211	CDHR3	8.59e-06
g211	CELR1	1.23e-46
g211	CELR1	4.44e-34
g211	CELR1	9.09e-34
g211	FAT4	6.95e-42
g211	FAT4	1.72e-35
g211	FAT4	5.77e-33
g211	FAT4	6.37e-32
g211	FAT4	8.62e-31
g211	FAT4	1.20e-30
g211	FAT4	4.19e-30
g211	FAT4	1.24e-28
g211	FAT4	3.39e-28
g211	FAT4	9.45e-27
g211	FAT4	5.71e-26
g211	FAT4	8.98e-25
g211	FAT4	6.20e-24
g211	FAT4	1.44e-22
g211	FAT4	3.71e-21
g211	FAT4	3.40e-19
g211	CELR3	1.46e-41
g211	CELR3	1.18e-37
g211	CELR3	2.69e-32
g211	CELR3	3.61e-29
g211	CELR3	8.72e-25
g211	CELR3	1.89e-19
g211	CELR2	7.73e-39
g211	CELR2	4.55e-32
g211	CELR2	6.34e-28
g211	CELR2	8.03e-16
g211	CELR2	5.95e-12
g211	FAT3	2.43e-36
g211	FAT3	1.91e-35
g211	FAT3	8.13e-32
g211	FAT3	3.77e-27
g211	FAT3	4.10e-27
g211	FAT3	4.16e-26
g211	FAT3	3.04e-24
g211	FAT3	3.00e-23
g211	FAT3	6.88e-22
g211	FAT3	1.36e-21
g211	FAT3	2.49e-20
g211	FAT3	1.12e-19
g211	FAT3	6.48e-19
g211	FAT3	6.53e-19
g211	FAT3	8.71e-19
g211	FAT3	1.48e-17
g211	FAT3	3.44e-07
g211	FAT3	8.70e-07
g211	CAD23	3.06e-36
g211	CAD23	6.23e-34
g211	CAD23	7.97e-32
g211	CAD23	2.31e-31
g211	CAD23	1.39e-25
g211	CAD23	3.10e-25
g211	CAD23	7.76e-25
g211	CAD23	8.55e-21
g211	CAD23	1.13e-19
g211	CAD23	2.42e-19
g211	CAD23	3.64e-18
g211	CAD23	5.09e-16
g211	CAD23	2.75e-12
g211	FAT2	1.00e-33
g211	FAT2	9.77e-31
g211	FAT2	9.56e-29
g211	FAT2	4.84e-28
g211	FAT2	1.35e-26
g211	FAT2	5.92e-23
g211	FAT2	7.20e-23
g211	FAT2	9.53e-22
g211	FAT2	9.94e-22
g211	FAT2	3.45e-16
g211	FAT2	3.11e-15
g211	FAT2	2.96e-14
g211	FAT2	3.77e-07
g218	SEM3C	0.0
g218	SEM3F	0.0
g218	SEM3A	0.0
g218	SEM3D	0.0
g218	SEM3E	0.0
g218	SEM3B	0.0
g218	SEM3G	0.0
g218	SEM4D	5.07e-107
g219	CD36	0.0
g219	SCRB2	6.21e-54
g219	SCRB1	6.50e-48
g221	ZMIZ2	9.22e-135
g221	ZMIZ1	1.83e-45
g223	LORF2	6.82e-82
g224	LORF2	4.69e-30
g225	GNAT3	0.0
g225	GNAT2	0.0
g225	GNAT1	0.0
g225	GNAI1	4.53e-173
g225	GNAI2	1.55e-172
g225	GNAI3	1.99e-168
g225	GNAO	1.97e-146
g225	GNAZ	7.76e-145
g228	GNAI1	2.63e-168
g228	GNAI1	9.80e-36
g228	GNAI1	1.74e-30
g228	GNAI3	2.59e-157
g228	GNAI3	3.66e-34
g228	GNAI3	1.16e-29
g228	GNAI2	1.21e-144
g228	GNAI2	1.07e-31
g228	GNAI2	7.59e-27
g228	GNAO	1.21e-109
g228	GNAO	7.08e-26
g228	GNAO	1.38e-21
g228	GNAT2	7.52e-109
g228	GNAT2	1.63e-25
g228	GNAT2	5.05e-20
g228	GNAT3	8.02e-109
g228	GNAT3	1.81e-23
g228	GNAT3	1.55e-19
g228	GNAT1	4.33e-108
g228	GNAT1	5.52e-25
g228	GNAT1	1.58e-18
g228	GNAZ	3.92e-98
g228	GNAZ	4.53e-26
g228	GNAZ	1.35e-20
g231	RL9	4.13e-26
g234	MAGI2	1.79e-62
g234	MAGI3	4.37e-25
g234	MAGI1	5.27e-20
g235	ODPA	8.45e-60
g235	ODPAT	9.29e-47
g235	M3K15	9.41e-11
g244	MAGI2	4.80e-75
g244	MAGI3	2.04e-17
g244	MAGI1	5.00e-15
g247	MAGI2	3.50e-36
g247	MAGI1	2.67e-25
g247	MAGI3	1.94e-23
g247	MAGI3	1.13e-07
g249	MAGI2	6.71e-145
g249	MAGI1	2.34e-65
g249	MAGI3	7.18e-50
g251	MAGI2	7.58e-96
g251	MAGI2	3.66e-12
g251	MAGI1	3.98e-38
g251	MAGI1	1.94e-09
g251	MAGI1	5.71e-06
g251	MAGI3	6.14e-33
g251	MAGI3	2.93e-11
g251	MAGI3	5.14e-09
g251	LIN7C	5.56e-13
g251	LIN7B	3.00e-12
g251	LIN7A	3.12e-10
g251	PARD3	4.33e-10
g251	PTN13	6.79e-08
g251	PTN13	9.78e-07
g252	SMD2	1.25e-26
g253	MAGI2	0.0
g253	MAGI2	2.32e-07
g253	MAGI3	1.02e-52
g253	MAGI1	9.26e-42
g253	MAGI1	1.91e-09
g253	MAGI1	2.29e-06
g253	INADL	2.38e-08
g253	INADL	3.77e-06
g253	CNKR2	3.94e-08
g253	NHRF3	4.12e-07
g253	SHAN1	6.19e-07
g253	SYJ2B	8.12e-07
g256	PHTF2	4.40e-38
g256	PHTF1	3.95e-35
g257	PHTF2	9.38e-140
g257	PHTF2	1.13e-78
g257	PHTF1	1.57e-85
g257	PHTF1	1.06e-34
g258	TMM60	2.01e-78
g259	RSBN1	3.97e-172
g260	PTN12	0.0
g260	PTN22	3.58e-79
g260	PTN18	2.94e-48
g260	PTPRJ	2.42e-31
g260	PTPRD	2.31e-28
g260	PTPRD	1.00e-19
g260	PTPRF	3.59e-28
g260	PTPRF	7.01e-22
g260	PTPRM	2.05e-27
g260	PTPRM	1.01e-10
g260	PTPRV	2.08e-27
g262	GSAP	2.96e-131
g262	GSAP	7.66e-98
g262	GSAP	5.20e-74
g263	CFA58	7.47e-17
g264	FGL2	0.0
g264	FGL1	4.30e-57
g264	ANGP2	1.83e-55
g264	ANGL7	1.74e-51
g264	ANGP1	1.92e-51
g264	ANGL1	9.04e-50
g264	ANGL2	3.00e-49
g264	FBCD1	2.69e-48
g266	F185A	4.55e-116
g267	DRC6	6.82e-175
g267	FBXL7	3.30e-27
g267	FBXL7	5.54e-27
g267	FXL20	8.72e-25
g267	FXL20	1.13e-16
g267	FXL20	9.34e-09
g267	FBXL2	2.82e-24
g267	FBXL2	4.94e-22
g267	FBXL2	4.46e-19
g267	FXL14	9.02e-23
g267	FXL14	2.75e-10
g267	FXL14	1.14e-09
g267	FXL15	3.90e-13
g267	FXL15	7.15e-08
g267	FXL17	5.55e-13
g267	FXL16	1.27e-12
g267	FXL16	3.19e-10
g267	FXL16	1.64e-07
g268	DRC6	2.69e-26
g269	LRC17	0.0
g269	SLIT1	5.11e-24
g269	SLIT1	9.33e-23
g269	SLIT1	1.16e-20
g269	SLIT1	1.75e-08
g269	SLIT1	3.12e-08
g269	SLIT1	4.71e-06
g269	SLIT2	6.89e-24
g269	SLIT2	4.11e-22
g269	SLIT2	1.27e-21
g269	SLIT2	1.46e-06
g269	SLIT3	3.20e-23
g269	SLIT3	6.18e-22
g269	SLIT3	1.69e-20
g269	SLIT3	2.95e-09
g269	SLIT3	1.41e-08
g269	SLIT3	1.75e-08
g269	LRC4B	8.81e-21
g269	LRRC4	2.19e-19
g269	LRRC4	1.97e-08
g269	LRC4C	1.34e-18
g269	LRC4C	1.31e-07
g269	R4RL2	9.01e-17
g269	R4RL2	2.52e-09
g269	R4RL2	3.63e-07
g270	DRC6	5.90e-35
g270	DRC6	1.02e-28
g271	ARM10	2.16e-160
g271	ARMX1	1.65e-78
g271	ARMX2	4.70e-74
g271	ARMX3	2.85e-70
g271	GASP2	3.40e-33
g271	ARMX5	9.07e-33
g271	GASP1	2.30e-26
g271	BHLH9	2.10e-23
g272	NAPEP	0.0
g273	MPPB	0.0
g273	QCR1	3.74e-175
g273	MPPA	1.21e-38
g273	QCR2	4.88e-28
g274	DNJC2	0.0
g274	DNJB9	2.17e-09
g274	DNJC1	1.00e-08
g274	DJC21	9.85e-08
g274	DNJB1	3.16e-06
g274	DNJA4	3.38e-06
g274	DJC11	6.16e-06
g275	PRS7	0.0
g275	PRS8	1.06e-121
g275	PRS10	2.09e-109
g275	PRS4	3.12e-106
g275	PRS6A	1.23e-99
g275	PRS6B	1.56e-96
g275	AFG31	5.74e-62
g275	AFG32	1.67e-61
g276	S26A5	0.0
g276	S26A6	6.12e-109
g276	S26A4	2.88e-77
g276	S26A4	1.99e-24
g276	S26A2	1.83e-74
g276	S26A3	4.35e-71
g276	S26A3	4.64e-27
g276	S26A1	3.78e-66
g276	S26A9	1.82e-64
g276	S26A9	6.21e-25
g276	S26A7	1.16e-50
g277	RELN	0.0
g277	RELN	4.45e-95
g277	RELN	8.43e-94
g277	RELN	1.15e-91
g277	RELN	8.41e-84
g277	RELN	8.06e-77
g277	RELN	2.66e-68
g277	RELN	6.56e-42
g277	RELN	1.27e-28
g277	RELN	3.13e-08
g278	RELN	0.0
g278	RELN	1.32e-68
g278	RELN	3.38e-60
g278	RELN	1.22e-48
g278	RELN	1.43e-48
g278	RELN	1.49e-47
g278	RELN	1.99e-43
g278	RELN	2.03e-39
g278	RELN	9.66e-17
g278	RELN	6.78e-13
g278	RELN	1.07e-09
g278	RELN	1.85e-07
g278	RELN	8.16e-06
g279	RELN	0.0
g279	RELN	0.0
g279	RELN	0.0
g279	RELN	0.0
g279	RELN	1.14e-153
g279	RELN	1.38e-144
g279	RELN	6.01e-117
g279	RELN	1.80e-98
g279	RELN	1.97e-88
g279	RELN	5.57e-70
g279	RELN	1.87e-13
g279	RELN	3.41e-11
g279	RELN	3.76e-09
g279	RELN	3.34e-07
g280	RELN	5.14e-178
g280	RELN	1.60e-09
g280	RELN	2.42e-07
g280	RELN	7.24e-06
g284	LORF2	1.60e-41
g285	RELN	1.42e-34
g286	RS28	1.35e-23
g287	ORC5	2.69e-18
g289	ORC5	0.0
g292	PAN3	2.07e-102
g294	PPIA	7.45e-116
g294	PPIF	6.10e-95
g294	PPIE	1.99e-78
g294	RBP2	1.51e-72
g294	PPIB	2.97e-67
g294	PPID	1.10e-62
g294	PPIC	1.45e-61
g294	PPIH	5.34e-56
g297	KMT2E	0.0
g297	KMT2E	0.0
g297	SETD5	6.36e-122
g297	SETD5	4.61e-08
g297	SETD2	2.39e-12
